Entity,Year,Code,Cantril ladder score,"GDP per capita, PPP (constant 2021 international $)"
Afghanistan,2021,AFG,2.404,2144.1665
Albania,2021,ALB,5.199,16126.777
Algeria,2021,DZA,5.122,14496.865
Argentina,2021,ARG,5.967,26300.273
Armenia,2021,ARM,5.399,15921.705
Australia,2021,AUS,7.162,58182.336
Austria,2021,AUT,7.163,62968.94
Azerbaijan,2021,AZE,5.173,20111.375
Bahrain,2021,BHR,6.647,54954.676
Bangladesh,2021,BGD,5.155,7441.0693
Belarus,2021,BLR,5.821,27611.18
Belgium,2021,BEL,6.805,60669.215
Benin,2021,BEN,4.623,3464.2886
Bolivia,2021,BOL,5.6,9454.198
Bosnia and Herzegovina,2021,BIH,5.768,18285.672
Botswana,2021,BWA,3.471,17960.625
Brazil,2021,BRA,6.293,18075.705
Bulgaria,2021,BGR,5.371,30971.914
Burkina Faso,2021,BFA,4.67,2486.431
Cambodia,2021,KHM,4.64,6225.5327
Cameroon,2021,CMR,5.048,4793.556
Canada,2021,CAN,7.025,56995.117
Chad,2021,TCD,4.251,2435.0728
Chile,2021,CHL,6.172,29089.85
China,2021,CHN,5.585,20843.297
Colombia,2021,COL,5.781,17383.09
Comoros,2021,COM,4.609,3449.0435
Congo,2021,COG,5.075,6263.2114
Costa Rica,2021,CRI,6.582,23852.926
Cote d'Ivoire,2021,CIV,5.235,6045.2046
Croatia,2021,HRV,6.125,36930.47
Cyprus,2021,CYP,6.221,48781.277
Czechia,2021,CZE,6.92,47796.035
Denmark,2021,DNK,7.636,69715.18
Dominican Republic,2021,DOM,5.737,22053.459
Ecuador,2021,ECU,5.533,13507.444
Egypt,2021,EGY,4.288,15579.016
El Salvador,2021,SLV,6.12,10809.714
Estonia,2021,EST,6.341,44251.54
Eswatini,2021,SWZ,4.396,9946.041
Ethiopia,2021,ETH,4.241,2588.413
Finland,2021,FIN,7.821,56790.375
France,2021,FRA,6.687,52517.336
Gabon,2021,GAB,4.958,18523.58
Gambia,2021,GMB,5.164,2777.7961
Georgia,2021,GEO,4.973,18915.654
Germany,2021,DEU,7.034,62530.766
Ghana,2021,GHA,4.872,6607.503
Greece,2021,GRC,5.948,33531.156
Guatemala,2021,GTM,6.262,11825.141
Guinea,2021,GIN,4.891,3738.8052
High-income countries,2021,,6.551092,55348.598
Honduras,2021,HND,6.022,6202.981
Hong Kong,2021,HKG,5.425,65884.94
Hungary,2021,HUN,6.086,38887.19
Iceland,2021,ISL,7.557,61610.215
India,2021,IND,3.777,8050.0186
Indonesia,2021,IDN,5.24,12757.074
Iran,2021,IRN,4.888,14951.895
Iraq,2021,IRQ,4.941,12731.754
Ireland,2021,IRL,7.041,116903.61
Israel,2021,ISR,7.364,46162.082
Italy,2021,ITA,6.467,49825.395
Jamaica,2021,JAM,5.85,9577.164
Japan,2021,JPN,6.039,44355.348
Jordan,2021,JOR,4.152,9182.496
Kazakhstan,2021,KAZ,6.234,32945.85
Kenya,2021,KEN,4.543,5338.8525
Kosovo,2021,OWID_KOS,6.455,12362.421
Kuwait,2021,KWT,6.106,50651.957
Kyrgyzstan,2021,KGZ,5.828,5736.479
Laos,2021,LAO,5.14,8080.4355
Latvia,2021,LVA,6.18,36912.01
Lebanon,2021,LBN,2.955,11599.775
Lesotho,2021,LSO,3.512,2544.7825
Liberia,2021,LBR,5.122,1539.2089
Libya,2021,LBY,5.33,12641.51
Lithuania,2021,LTU,6.446,45873.527
Low-income countries,2021,,4.199462,2275.678
Lower-middle-income countries,2021,,4.3157134,7652.7197
Luxembourg,2021,LUX,7.404,136772.44
Madagascar,2021,MDG,4.339,1577.4325
Malawi,2021,MWI,3.75,1687.5936
Malaysia,2021,MYS,5.711,29822.85
Mali,2021,MLI,4.479,2796.228
Malta,2021,MLT,6.447,56802.01
Mauritania,2021,MRT,4.153,5836.566
Mauritius,2021,MUS,6.071,22737.572
Mexico,2021,MEX,6.128,20782.588
Moldova,2021,MDA,5.857,15682.07
Mongolia,2021,MNG,5.761,14792.251
Montenegro,2021,MNE,5.547,23842.062
Morocco,2021,MAR,5.06,8623.266
Mozambique,2021,MOZ,5.048,1457.2354
Myanmar,2021,MMR,4.394,5178.4473
Namibia,2021,NAM,4.459,9709.1
Nepal,2021,NPL,5.377,4546.2295
Netherlands,2021,NLD,7.415,68573.56
New Zealand,2021,NZL,7.2,47996.68
Nicaragua,2021,NIC,6.165,7119.1694
Niger,2021,NER,5.003,1585.5992
Nigeria,2021,NGA,4.552,5491.7
North Macedonia,2021,MKD,5.199,22142.973
Norway,2021,NOR,7.365,88984.14
Pakistan,2021,PAK,4.516,5367.2734
Palestine,2021,PSE,4.483,5663.1216
Panama,2021,PAN,6.309,30932.764
Paraguay,2021,PRY,5.578,15406.167
Peru,2021,PER,5.559,15280.551
Philippines,2021,PHL,5.904,8857.79
Poland,2021,POL,6.123,41059.586
Portugal,2021,PRT,6.016,38657.668
Romania,2021,ROU,6.477,37730.37
Russia,2021,RUS,5.459,38638.43
Rwanda,2021,RWA,3.268,2733.4355
Saudi Arabia,2021,SAU,6.523,62690.496
