Entity,Year,Code,Cantril ladder score,"GDP per capita, PPP (constant 2021 international $)"
Senegal,2021,SEN,5.046,4173.6772
Serbia,2021,SRB,6.178,23404.998
Sierra Leone,2021,SLE,3.574,2851.9521
Singapore,2021,SGP,6.48,132617.36
Slovakia,2021,SVK,6.391,38346.094
Slovenia,2021,SVN,6.63,45914.06
South Africa,2021,ZAF,5.194,13711.294
South Korea,2021,KOR,5.935,48419.645
Spain,2021,ESP,6.476,44251.664
Sri Lanka,2021,LKA,4.362,14316.135
Sweden,2021,SWE,7.384,62731.7
Switzerland,2021,CHE,7.512,81001.414
Tajikistan,2021,TJK,5.377,3985.9126
Tanzania,2021,TZA,3.702,3493.083
Thailand,2021,THA,5.891,20242.77
Togo,2021,TGO,4.112,2577.202
Tunisia,2021,TUN,4.516,12444.326
Turkey,2021,TUR,4.744,31338.266
Turkmenistan,2021,TKM,5.474,16434.14
Uganda,2021,UGA,4.603,2684.9204
Ukraine,2021,UKR,5.084,17846.408
United Arab Emirates,2021,ARE,6.576,67401.125
United Kingdom,2021,GBR,6.943,51004.426
United States,2021,USA,6.977,71307.4
Upper-middle-income countries,2021,,5.566909,19451.951
Uruguay,2021,URY,6.474,29431.885
Uzbekistan,2021,UZB,6.063,9247.644
Vietnam,2021,VNM,5.485,12048.902
World,2021,OWID_WRL,5.180844,19751.975
Zambia,2021,ZMB,3.76,3503.035
Zimbabwe,2021,ZWE,2.995,3184.7847
