Entity,Year,Code,Cantril ladder score,"GDP per capita, PPP (constant 2021 international $)"
Afghanistan,2022,AFG,1.859,1981.7102
Albania,2022,ALB,5.277,17111.953
Algeria,2022,DZA,5.329,14782.2
Argentina,2022,ARG,6.024,27627.963
Armenia,2022,ARM,5.342,17886.178
Australia,2022,AUS,7.095,59883.65
Austria,2022,AUT,7.097,65661.45
Bahrain,2022,BHR,6.173,57572.996
Bangladesh,2022,BGD,4.282,7888.164
Belgium,2022,BEL,6.859,62744.203
Benin,2022,BEN,4.374,3588.3252
Bolivia,2022,BOL,5.684,9681.707
Bosnia and Herzegovina,2022,BIH,5.633,19297.072
Botswana,2022,BWA,3.435,18647.373
Brazil,2022,BRA,6.125,18554.047
Bulgaria,2022,BGR,5.466,32433.15
Burkina Faso,2022,BFA,4.638,2466.0532
Cambodia,2022,KHM,4.393,6458.368
Cameroon,2022,CMR,4.973,4843.6504
Canada,2022,CAN,6.961,58321.062
Chad,2022,TCD,4.397,2655.71
Chile,2022,CHL,6.334,29569.479
China,2022,CHN,5.818,21499.383
Colombia,2022,COL,5.63,18458.72
Comoros,2022,COM,3.545,3478.1736
Congo,2022,COG,5.267,6205.105
Costa Rica,2022,CRI,6.609,24831.719
Cote d'Ivoire,2022,CIV,5.053,6272.264
Croatia,2022,HRV,6.125,39861.79
Cyprus,2022,CYP,6.13,51588.445
Czechia,2022,CZE,6.845,48390.66
Democratic Republic of Congo,2022,COD,3.207,1385.4647
Denmark,2022,DNK,7.586,70233.64
Dominican Republic,2022,DOM,5.569,22986.959
Ecuador,2022,ECU,5.559,14186.639
Egypt,2022,EGY,4.17,16360.391
El Salvador,2022,SLV,6.122,11085.618
Estonia,2022,EST,6.455,43690.414
Ethiopia,2022,ETH,4.091,2655.5928
Finland,2022,FIN,7.804,57068.305
France,2022,FRA,6.661,53691.617
Gabon,2022,GAB,5.035,18662.049
Gambia,2022,GMB,4.279,2863.1804
Georgia,2022,GEO,5.109,20966.527
Germany,2022,DEU,6.892,62931.97
Ghana,2022,GHA,4.605,6728.454
Greece,2022,GRC,5.931,35906.613
Guatemala,2022,GTM,6.15,12147.931
Guinea,2022,GIN,5.072,3792.0107
High-income countries,2022,,6.543314,56725.566
Honduras,2022,HND,6.023,6352.587
Hong Kong,2022,HKG,5.308,64036.668
Hungary,2022,HUN,6.041,40656.97
Iceland,2022,ISL,7.53,65475.41
India,2022,IND,4.036,8594.392
Indonesia,2022,IDN,5.277,13334.266
Iran,2022,IRN,4.876,15331.333
Iraq,2022,IRQ,4.941,13433.397
Ireland,2022,IRL,6.911,124489.375
Israel,2022,ISR,7.473,48098.188
Italy,2022,ITA,6.405,52333.33
Jamaica,2022,JAM,5.703,10072.049
Japan,2022,JPN,6.129,44972.344
Jordan,2022,JOR,4.12,9266.575
Kazakhstan,2022,KAZ,6.144,33506.26
Kenya,2022,KEN,4.487,5491.694
Kosovo,2022,OWID_KOS,6.368,13022.463
Kyrgyzstan,2022,KGZ,5.825,6139.778
Laos,2022,LAO,5.111,8183.0327
Latvia,2022,LVA,6.213,37681.047
Lebanon,2022,LBN,2.392,11474.751
Liberia,2022,LBR,4.042,1578.9984
Lithuania,2022,LTU,6.763,46651.215
Low-income countries,2022,,3.8426707,2291.6523
Lower-middle-income countries,2022,,4.408813,8042.731
Luxembourg,2022,LUX,7.228,132574.0
Madagascar,2022,MDG,4.019,1602.7136
Malawi,2022,MWI,3.495,1659.9594
Malaysia,2022,MYS,6.012,32079.152
Mali,2022,MLI,4.198,2808.5225
Malta,2022,MLT,6.3,57781.5
Mauritania,2022,MRT,4.724,6053.2617
Mauritius,2022,MUS,5.902,24788.766
Mexico,2022,MEX,6.33,21392.111
Moldova,2022,MDA,5.819,15358.016
Mongolia,2022,MNG,5.84,15310.435
Montenegro,2022,MNE,5.722,25429.025
Morocco,2022,MAR,4.903,8666.079
Mozambique,2022,MOZ,4.954,1476.6656
Myanmar,2022,MMR,4.372,5350.4766
Namibia,2022,NAM,4.631,9953.098
Nepal,2022,NPL,5.36,4763.3877
Netherlands,2022,NLD,7.403,71324.04
New Zealand,2022,NZL,7.123,49618.523
Nicaragua,2022,NIC,6.259,7277.8228
Niger,2022,NER,4.501,1717.5189
Nigeria,2022,NGA,4.981,5552.838
North Macedonia,2022,MKD,5.254,22820.977
Norway,2022,NOR,7.315,91051.086
Pakistan,2022,PAK,4.555,5526.2793
Palestine,2022,PSE,4.908,5753.084
Panama,2022,PAN,6.265,33833.027
Paraguay,2022,PRY,5.738,15259.1455
Peru,2022,PER,5.526,15559.821
Philippines,2022,PHL,5.523,9457.104
Poland,2022,POL,6.26,43405.023
Portugal,2022,PRT,5.968,41070.86
Romania,2022,ROU,6.589,39377.973
Russia,2022,RUS,5.661,38214.496
Saudi Arabia,2022,SAU,6.463,67178.59
Senegal,2022,SEN,4.855,4228.734
Serbia,2022,SRB,6.144,24633.07
Sierra Leone,2022,SLE,3.138,2937.3735
Singapore,2022,SGP,6.587,133571.97
Slovakia,2022,SVK,6.469,38623.67
Slovenia,2022,SVN,6.65,47064.152
South Africa,2022,ZAF,5.275,13777.192
South Korea,2022,KOR,5.951,49777.93
Spain,2022,ESP,6.436,46649.562
Sri Lanka,2022,LKA,4.442,13249.065
Sweden,2022,SWE,7.395,63215.438
Switzerland,2022,CHE,7.24,82777.3
Tajikistan,2022,TJK,5.33,4213.7563
Tanzania,2022,TZA,3.694,3546.981
Thailand,2022,THA,5.843,20762.795
Togo,2022,TGO,4.137,2662.2593
Tunisia,2022,TUN,4.497,12702.453
Turkey,2022,TUR,4.614,32748.318
Uganda,2022,UGA,4.432,2724.906
Ukraine,2022,UKR,5.071,13787.121
United Arab Emirates,2022,ARE,6.571,68867.83
United Kingdom,2022,GBR,6.796,52982.176
United States,2022,USA,6.894,72679.26
Upper-middle-income countries,2022,,5.689523,20030.756
Uruguay,2022,URY,6.494,30804.703
Uzbekistan,2022,UZB,6.014,9607.562
Vietnam,2022,VNM,5.763,12979.764
World,2022,OWID_WRL,5.2233496,20281.531
Zambia,2022,ZMB,3.982,3585.1238
Zimbabwe,2022,ZWE,3.204,3323.1184
