Entity,Year,Code,Cantril ladder score,"GDP per capita, PPP (constant 2021 international $)"
Albania,2024,ALB,5.411,18919.807
Algeria,2024,DZA,5.571,15442.124
Argentina,2024,ARG,6.397,26547.05
Armenia,2024,ARM,5.494,20078.785
Australia,2024,AUS,6.974,60082.004
Austria,2024,AUT,6.81,63314.46
Azerbaijan,2024,AZE,4.875,22072.105
Bahrain,2024,BHR,6.03,59129.14
Bangladesh,2024,BGD,3.851,8486.785
Belgium,2024,BEL,6.91,63083.184
Belize,2024,BLZ,6.711,13277.936
Benin,2024,BEN,4.357,3901.326
Bolivia,2024,BOL,5.868,9844.276
Bosnia and Herzegovina,2024,BIH,6.136,20428.525
Botswana,2024,BWA,3.438,18068.506
Brazil,2024,BRA,6.494,19647.91
Bulgaria,2024,BGR,5.554,34083.234
Burkina Faso,2024,BFA,4.383,2547.9326
Cambodia,2024,KHM,4.341,7011.5815
Cameroon,2024,CMR,4.887,4919.1416
Canada,2024,CAN,6.803,56691.906
Chad,2024,TCD,4.384,2605.7717
Chile,2024,CHL,6.361,30182.787
China,2024,CHN,5.921,23845.62
Colombia,2024,COL,6.004,18503.67
Comoros,2024,COM,3.754,3567.514
Congo,2024,COG,5.03,6181.4707
Costa Rica,2024,CRI,7.274,26973.436
Cote d'Ivoire,2024,CIV,5.102,6733.154
Croatia,2024,HRV,5.87,42631.316
Cyprus,2024,CYP,5.942,53252.46
Czechia,2024,CZE,6.775,47961.81
Democratic Republic of Congo,2024,COD,3.469,1504.1438
Denmark,2024,DNK,7.521,73709.0
Dominican Republic,2024,DOM,5.846,24229.469
Ecuador,2024,ECU,5.965,13935.539
Egypt,2024,EGY,3.817,16798.152
El Salvador,2024,SLV,6.492,11669.082
Estonia,2024,EST,6.417,41546.12
Eswatini,2024,SWZ,3.774,10367.269
Ethiopia,2024,ETH,3.898,2884.2646
Finland,2024,FIN,7.736,55628.68
France,2024,FRA,6.593,54464.98
Gabon,2024,GAB,5.12,18923.09
Gambia,2024,GMB,4.423,3030.974
Georgia,2024,GEO,5.4,25000.633
Germany,2024,DEU,6.753,62829.797
Ghana,2024,GHA,4.34,7061.934
Greece,2024,GRC,5.776,37752.633
Guatemala,2024,GTM,6.362,12640.887
