Entity,Year,Code,Cantril ladder score,"GDP per capita, PPP (constant 2021 international $)"
Guinea,2024,GIN,4.929,4028.4834
High-income countries,2024,,6.528154,58151.273
Honduras,2024,HND,5.964,6585.8555
Hong Kong,2024,HKG,5.491,66171.36
Hungary,2024,HUN,5.915,40702.152
Iceland,2024,ISL,7.515,65645.09
India,2024,IND,4.389,9817.071
Indonesia,2024,IDN,5.617,14470.4375
Iran,2024,IRN,5.093,16224.035
Iraq,2024,IRQ,4.976,12725.043
Ireland,2024,IRL,6.889,115337.164
Israel,2024,ISR,7.234,47338.844
Italy,2024,ITA,6.415,53115.137
Jamaica,2024,JAM,5.87,10259.995
Japan,2024,JPN,6.147,46097.43
Jordan,2024,JOR,4.31,9520.251
Kazakhstan,2024,KAZ,6.378,35905.44
Kenya,2024,KEN,4.51,5823.4077
Kosovo,2024,OWID_KOS,6.659,16380.868
Kuwait,2024,KWT,6.629,45426.945
Kyrgyzstan,2024,KGZ,5.858,7046.31
Laos,2024,LAO,5.301,8610.901
Latvia,2024,LVA,6.207,38936.047
Lesotho,2024,LSO,3.757,2637.9165
Liberia,2024,LBR,4.277,1658.26
Libya,2024,LBY,5.82,12275.91
Lithuania,2024,LTU,6.829,47169.008
Low-income countries,2024,,3.8344395,2228.079
Lower-middle-income countries,2024,,4.5860186,8788.578
Luxembourg,2024,LUX,7.122,128181.7
Madagascar,2024,MDG,4.157,1657.0497
Malawi,2024,MWI,3.26,1635.8569
Malaysia,2024,MYS,5.955,34071.945
Mali,2024,MLI,4.345,2910.8154
Malta,2024,MLT,6.316,60469.78
Mauritania,2024,MRT,4.542,6396.991
Mauritius,2024,MUS,5.832,27317.186
Mexico,2024,MEX,6.979,22033.275
Moldova,2024,MDA,5.819,16465.928
Mongolia,2024,MNG,5.833,16801.307
Montenegro,2024,MNE,5.877,27852.041
Morocco,2024,MAR,4.622,9065.914
Mozambique,2024,MOZ,5.19,1495.3224
Myanmar,2024,MMR,4.321,5276.2944
Namibia,2024,NAM,4.911,10281.336
Nepal,2024,NPL,5.311,5046.816
Netherlands,2024,NLD,7.306,70901.836
New Zealand,2024,NZL,6.952,48162.86
Nicaragua,2024,NIC,6.33,7661.602
Niger,2024,NER,4.725,1772.7245
Nigeria,2024,NGA,4.885,5665.4517
North Macedonia,2024,MKD,5.503,24463.984
Norway,2024,NOR,7.262,91108.234
Oman,2024,OMN,6.197,36654.23
Pakistan,2024,PAK,4.768,5530.996
Palestine,2024,PSE,4.78,3845.503
Panama,2024,PAN,6.407,36426.008
Paraguay,2024,PRY,6.172,16296.283
Peru,2024,PER,5.947,15661.75
Philippines,2024,PHL,6.107,10375.94
Poland,2024,POL,6.673,45112.598
Portugal,2024,PRT,6.013,41883.85
Romania,2024,ROU,6.563,40608.418
Russia,2024,RUS,5.945,41704.71
Saudi Arabia,2024,SAU,6.6,62676.7
Senegal,2024,SEN,4.856,4495.895
Serbia,2024,SRB,6.606,26884.463
Sierra Leone,2024,SLE,2.998,3092.8306
Singapore,2024,SGP,6.565,132569.53
Slovakia,2024,SVK,6.221,40346.574
Slovenia,2024,SVN,6.792,48495.89
Somalia,2024,SOM,4.347,1408.2783
South Africa,2024,ZAF,5.213,13598.789
Spain,2024,ESP,6.466,48373.047
Sri Lanka,2024,LKA,3.891,13752.837
Sweden,2024,SWE,7.345,63258.906
Switzerland,2024,CHE,6.935,82026.41
Tajikistan,2024,TJK,5.411,4755.933
Tanzania,2024,TZA,3.8,3713.263
Thailand,2024,THA,6.222,21737.178
Togo,2024,TGO,4.315,2849.6038
Trinidad and Tobago,2024,TTO,5.905,31689.732
Tunisia,2024,TUN,4.552,12713.55
Turkey,2024,TUR,5.262,35294.395
Uganda,2024,UGA,4.461,2881.866
Ukraine,2024,UKR,4.68,16319.845
United Arab Emirates,2024,ARE,6.759,68584.66
United Kingdom,2024,GBR,6.728,52517.984
United States,2024,USA,6.724,75491.61
Upper-middle-income countries,2024,,5.897881,21658.621
Uruguay,2024,URY,6.661,32038.773
Uzbekistan,2024,UZB,6.193,10450.205
Vietnam,2024,VNM,6.352,14415.216
World,2024,OWID_WRL,5.344676,21267.674
Zambia,2024,ZMB,3.912,3716.0374
Zimbabwe,2024,ZWE,3.396,3450.1296
